nid,tittel,status,fag,trinn,antall_maal_totalt,antall_utgaatt_D,antall_gyldig_A,antall_B,antall_C,kun_utgaatt,utgaatte_maal_tekst
7411,Klokka er...,1,Aball 1 | Matematikk,2. trinn,2,1,0,0,1,nei,Forklare korleis ein kan beskrive tid ved hjelp av klokke og kalender.
7415,Magiske figurer,1,Aball 1 | Matematikk,10. trinn | 3. trinn | 4. trinn | 5. trinn | 6. trinn | 7. trinn | 8. trinn | 9. trinn,9,3,0,2,4,nei,"utforske og forklare sammenhenger mellom addisjon og subtraksjon og bruke det i hoderegning og problemløsing || Utforske likevekt og balanse i praktiske situasjonar, representere dette på ulike måtar og omsetje mellom dei ulike representasjonane. || Løyse likningar og ulikskapar gjennom logiske resonnement og forklare kva det vil seie at eit tal er ei løysing på ei likning."
10137,Spretten - de fire regneartene,1,Matematikk,1. trinn | 2. trinn | 3. trinn | 4. trinn,3,2,0,1,0,nei,utforske og forklare sammenhenger mellom addisjon og subtraksjon og bruke det i hoderegning og problemløsing || utforske og forklare sammenhenger mellom de fire regneartene og bruke sammenhengene hensiktsmessig i utregninger
10138,Tallstrategi,1,Matematikk,1. trinn | 2. trinn | 3. trinn | 4. trinn | 5. trinn,3,1,1,1,0,nei,Beskrive posisjonssystemet ved hjelp av ulike representasjonar.
11312,Memory med måleenheter,1,Matematikk,6. trinn,2,1,0,0,1,nei,Utforske mål for areal og volum i praktiske situasjonar og representere dei på ulike måtar.
11484,Tiervenner med Aball,1,Matematikk,1. trinn | 2. trinn,3,1,0,1,1,nei,"utforske tall, mengder og telling i lek, natur, billedkunst, musikk og barnelitteratur, representere tallene på ulike måter og oversette mellom de ulike representasjonene"
13077,Fallskjermen,1,Matematikk,2. trinn | 3. trinn | 8. trinn,7,3,0,1,3,nei,Utforske den kommutative og den assosiative eigenskapen ved addisjon og bruke dette i hovudrekning. || Utforske og forklare sammenhenger mellom addisjon og subtraksjon og bruke det i hoderegning og problemløsing. || Utvikle og kommunisere strategiar for hovudrekning i utrekningar.
13079,Mattehauken - Hoderegning,1,Matematikk,2. trinn | 3. trinn | 4. trinn | 8. trinn,10,5,0,1,4,nei,Utforske den kommutative og den assosiative eigenskapen ved addisjon og bruke dette i hovudrekning. || Utforske og forklare sammenhenger mellom addisjon og subtraksjon og bruke det i hoderegning og problemløsing. || Utvikle og bruke hensiktsmessige strategier for subtraksjon i praktiske situasjoner. || Utforske og forklare samanhengar mellom dei fire rekneartane og bruke samanhengane formålstenleg i utrekningar. || Utvikle og kommunisere strategiar for hovudrekning i utrekningar.
14326,Plukk summen - Nattduellen (de fire regneartene),1,Matematikk,2. trinn | 3. trinn | 4. trinn | 5. trinn,6,3,0,0,3,nei,utforske den kommutative og den assosiative egenskapen ved addisjon og bruke dette i hoderegning || Utforske og forklare sammenhenger mellom addisjon og subtraksjon og bruke det i hoderegning og problemløsing. || Utforske og forklare sammenhenger mellom de fire regneartene og bruke sammenhengene hensiktsmessig i utregninger.
16043,Rubiks matte - Utforsking og problemløsing,1,Matematikk,10. trinn | 4. trinn | 5. trinn | 6. trinn | 7. trinn | 8. trinn | 9. trinn,2,2,0,0,0,JA,"Her jobbes det med kjerneelementet - Utforsking og problemløsing: || ""Utforsking i matematikk handler om at elevene leter etter mønstre, finner sammenhenger og diskuterer seg fram til en felles forståelse."" (Udir) Denne aktiviteten gir god øvelse i dette."
16498,Kortduellen,1,Matematikk,1. trinn | 2. trinn | 3. trinn | 4. trinn | 5. trinn,8,4,2,2,0,nei,utforske den kommutative og den assosiative egenskapen ved addisjon og bruke dette i hoderegning || utforske og forklare sammenhenger mellom addisjon og subtraksjon og bruke det i hoderegning og problemløsing || utforske og forklare sammenhenger mellom de fire regneartene og bruke sammenhengene hensiktsmessig i utregninger || løse ligninger og ulikheter gjennom logiske resonnementer og forklare hva det vil si at et tall er en løsning på en ligning
17509,Måling med papirfly,1,Matematikk,1. trinn | 2. trinn | 3. trinn | 4. trinn | 5. trinn | 6. trinn,8,4,0,0,4,nei,"Måle og sammenligne størrelser som gjelder lengde og areal, ved hjelp av ikke-standardiserte og standardiserte måleenheter, beskrive hvordan og samtale om resultatene. || Bruke ulike måleenheter for lengde og masse i praktiske situasjoner og begrunne valget av måleenhet. || Bruke ikke-standardiserte måleenheter for areal og volum i praktiske situasjoner og begrunne valget av måleenhet. || Utforske mål for areal og volum i praktiske situasjonar og representere dei på ulike måtar."
