tittel,type,filtype,spraak,tilleggsmateriale,hvilken_lek
Alias - lys,Aktiv læring,pdf,nb,nei,Alias (malbasert) | Alias: Lys
Alias - energi og elektrisitet,Aktiv læring,pdf,nb,nei,Alias (malbasert) | Alias: Energi og elektrisitet
Alias - redigerbar,Aktiv læring,pdf,nb,nei,Alias (malbasert) | Alias: Energi og elektrisitet | Alias: Lys | Alias: Havet og kysten | Alias: Vær og klima | Alias: Kjemi
Alias - Kjemi,Aktiv læring,pdf,nb,nei,Alias: Kjemi
Vinkelalias,Aktiv læring,pdf,nb,nei,Vinkelalias
Terninghistorie - bilder,Aktiv læring,pdf,nb | nn,nei,Terninghistorie
Tips til laginndeling,Drift av TL | Tips og plakater | Tips,pdf,nb,nei,
Velkommen førsteklassinger!,Lek og aktivitet | Velkommen 1. klasse!,pdf,nb,nei,
"Velkommen førsteklassinger, periodeplaner",Tips og plakater | Periodeplan | Velkommen 1. klasse! | Ukeplaner med lek,pdf,nb,nei,
Lek sammen på avstand 1,Ukeplaner med lek,pdf,nb,nei,
Lek sammen på avstand 2,Ukeplaner med lek,pdf,nb,nei,
Lek sammen på avstand 3,Ukeplaner med lek,pdf,nb,nei,
Bingobrett 2 med bilder,Tilleggsmateriale til leker,pdf,nb,ja,Bildestafett
Bingobrett 3 med bilder,Tilleggsmateriale til leker,pdf,nb,ja,Bildestafett
Bingobrett 4 med bilder,Tilleggsmateriale til leker,pdf,nb,ja,Bildestafett
Ukeplaner med aktivitet nr. 1 og 2,Ukeplaner med lek,pdf,nb,nei,
Ukeplaner med aktivitet nr. 3,Ukeplaner med lek,pdf,nb,nei,
Ukeplaner med aktivitet nr. 4,Ukeplaner med lek,pdf,nb,nei,
Ukeplaner med aktivitet nr. 5,Ukeplaner med lek,pdf,nb,nei,
25-leken om jødedommen,Aktiv læring,pdf,nb,nei,25-leken (alle opplegg + redigerbar) | 25-leken om jødedommen
25-leken om jødedommen - fasit,Aktiv læring,pdf,nb,nei,25-leken (alle opplegg + redigerbar) | 25-leken om jødedommen
25-leken om kropp og helse,Aktiv læring,pdf,nb,nei,25-leken (alle opplegg + redigerbar) | 25-leken: Kropp og helse
25-leken om kropp og helse - fasit,Aktiv læring,pdf,nb,nei,25-leken (alle opplegg + redigerbar) | 25-leken: Kropp og helse
25-leken om samisk kultur,Aktiv læring,pdf,nb,nei,25-leken (alle opplegg + redigerbar) | 25-leken om samisk kultur
25-leken om samisk kultur - fasit,Aktiv læring,pdf,nb,nei,25-leken (alle opplegg + redigerbar) | 25-leken om samisk kultur
25-leken redigerbar,Aktiv læring,pdf,nb | nn | en,nei,25-leken (alle opplegg + redigerbar) | 25-leken: Kropp og helse | 25-leken om samisk kultur | 25-leken om jødedommen | 25-leken om lov og rett
25-leken redigerbar - fasit,Aktiv læring,pdf,nb | nn | en,nei,25-leken (alle opplegg + redigerbar) | 25-leken: Kropp og helse | 25-leken om samisk kultur | 25-leken om jødedommen | 25-leken om lov og rett
Fisker med ulik vekt og ulike måleenheter,Aktiv læring,pdf,nb | nn | en,nei,Ice fishers
Ord (bilde på bakside),Aktiv læring,pdf,nb,nei,Ordstafett for de minste
Påstander om Norden,Aktiv læring,pdf,nb,nei,Sant eller usant: Norden
Sant/usant lapper,Aktiv læring,pdf,nb | nn,nei,Sant eller usant: Norden
Øret - bilde A3,Aktiv læring,pdf,nb | nn,nei,Øyet som ser og øret som hører
Øret - ord til bilde,Aktiv læring,pdf,nb,nei,Øyet som ser og øret som hører
Øret - fasit A3,Aktiv læring,pdf,nb,nei,Øyet som ser og øret som hører
Øyet - bilde A3,Aktiv læring,pdf,nb | nn,nei,Øyet som ser og øret som hører
Øyet - ord til bilde,Aktiv læring,pdf,nb,nei,Øyet som ser og øret som hører
Øyet - fasit A3,Aktiv læring,pdf,nb,nei,Øyet som ser og øret som hører
Lapper med koordinater,Aktiv læring,pdf,nb | nn,nei,Koordinatcatch
Tall 1-10,Aktiv læring,pdf,nb | nn,nei,Faktorjakt
Kort med svar fra gangetabell,Aktiv læring,pdf,nb | nn,nei,Faktorjakt
Kort med land og flagg - skriv ut dobbeltsidig,Aktiv læring,pdf,nb,nei,Land og flagg Europa
Fasit - land og flagg,Aktiv læring,pdf,nb,nei,Land og flagg Europa
Kart over bane og kjegler,Aktiv læring,pdf,nb,nei,Fangeleken
Løsningsord: TRIBUNEN,Aktiv læring,pdf,nb,nei,Fangeleken
Løsningsord: GANGETABELL,Aktiv læring,pdf,nb,nei,Fangeleken
Redigerbar mal for løsningsord,Aktiv læring,pdf,nb | nn | en,nei,Fangeleken
Ordkort,Aktiv læring,pdf,nb,nei,Finn ordklassen
Stikkball med rettskriving. Bildekort,Aktiv læring,pdf,nb,nei,Stikkball med rettskriving
Tidslinjepartner - hendelser,Aktiv læring,pdf,nb,nei,Tidslinjepartner
Tidslinjepartner - årstall,Aktiv læring,pdf,nb,nei,Tidslinjepartner
Tidslinjepartner - fasit,Aktiv læring,pdf,nb,nei,Tidslinjepartner
Hvor i all verden? - Kart A3,Aktiv læring,pdf,nb | nn,nei,Hvor i all verden?
Verbkort,Aktiv læring,pdf,nb | en,nei,"""Løper"" og ""Bøyer"" - verbs"
Picture slide - bildekort,Aktiv læring,pdf,nb | en,nei,Picture slide
Storyhunters - lapper med ulike tekstelementer (ungdomstrinn),Aktiv læring,pdf,nb | nn | en,nei,Storyhunters (ungdomstrinn)
Kurshefte 2021 vinter,Kurshefter,pdf,nb,nei,
A4 beskrivelser 2021 vinter,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
Matematikk frisbeegolf - regnehistorier,Aktiv læring,pdf,nb,nei,Matematikk frisbeegolf
Fire hjørner - Mat: Kategorier A4 ark,Aktiv læring,pdf,nb | nn | en,nei,Fire hjørner - Everyday Vocabulary
Fire hjørner - Mat: Ordkort med bilder,Aktiv læring,pdf,nb | nn | en,nei,Fire hjørner - Everyday Vocabulary
Fire hjørner - Ulike rom: Kategorier A4 ark,Aktiv læring,pdf,nb | nn | en,nei,Fire hjørner - Everyday Vocabulary
Fire hjørner - Ulike rom: Ordkort med bilder,Aktiv læring,pdf,nb | nn | en,nei,Fire hjørner - Everyday Vocabulary
Fire hjørner - Redigerbar: Kategorier A4 ark,Aktiv læring,pdf,nb | nn | en,nei,Fire hjørner - Everyday Vocabulary
Fire hjørner - Redigerbar: Ordkort (uten bilder),Aktiv læring,pdf,nb | nn | en,nei,Fire hjørner - Everyday Vocabulary
"Aktiv læring, kurshefte modul 6 barneskole",Aktiv læring | Kurshefter,pdf,nb,nei,
Stafett med sterke verb - ordkort,Aktiv læring,pdf,nb | nn | en,nei,Stafett med engelske verb
Glosestafett - Christmas,Aktiv læring,pdf,nb | nn | en,nei,Glosestafett
Glosestafett - Fruit,Aktiv læring,pdf,nb | nn | en,nei,Glosestafett
Glosestafett - Months,Aktiv læring,pdf,nb | nn | en,nei,Glosestafett
Glosestafett - The house,Aktiv læring,pdf,nb | nn | en,nei,Glosestafett
Glosestafett - Vegetables,Aktiv læring,pdf,nb | nn | en,nei,Glosestafett
Glosestafett - Winter,Aktiv læring,pdf,nb | nn | en,nei,Glosestafett
"10 tips til TL, A3 plakat - Nynorsk",Tips og plakater | Plakater,pdf,nn,nei,
"10 tips til TL, A3 plakat - Bokmål",Tips og plakater | Plakater,pdf,nb,nei,
"Regler i leken, A3 plakat - Nynorsk",Tips og plakater | Plakater,pdf,nn,nei,
"Regler i leken, A3 plakat - Bokmål",Tips og plakater | Plakater,pdf,nb,nei,
"Oppgaver for TL, A3 plakat - Nynorsk",Tips og plakater | Plakater,pdf,nn,nei,
"Oppgaver for TL, A3 plakat - Bokmål",Tips og plakater | Plakater,pdf,nb,nei,
"Regler for å være TL, A3 plakat - Nynorsk",Tips og plakater | Plakater,pdf,nn,nei,
"Regler for å være TL, A3 plakat - Bokmål",Tips og plakater | Plakater,pdf,nb,nei,
Tverrfaglige påskenøtter,Aktiv læring,pdf,nb,nei,Påskenøtter
Tverrfaglige påskenøtter - fasit,Aktiv læring,pdf,nb,nei,Påskenøtter
"Påskenøtter, redigerbar ",Aktiv læring,pdf,nb | nn | en,nei,Påskenøtter
"Påskenøtter, redigerbar - fasit",Aktiv læring,pdf,nb | nn | en,nei,Påskenøtter
Kurshefte 2020 høst ,Kurshefter,pdf,nb,nei,
Kurshefte 2021 høst ,Kurshefter,pdf,nb,nei,
A4 beskrivelser 2021 høst,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
Toget går til,Tilleggsmateriale til leker,pdf,nb,ja,Toget går
Toget går billetter,Tilleggsmateriale til leker,pdf,nb | nn | en,ja,Toget går
Elevpresentasjon 4.-7. trinn - nynorsk,Drift av TL | Presentasjoner | Elevpresentasjoner,pptx,nn,nei,
Elevpresentasjon 8.-10. trinn - nynorsk,Drift av TL | Presentasjoner | Elevpresentasjoner,pptx,nn,nei,
"Oppstartsmøte ungdomsskole, nynorsk",Drift av TL | Presentasjoner | Oppstartsmøte med trivselsledere,pptx,nn,nei,
"Søknad TL med TL-styre, nynorsk","Drift av TL | Nominasjon, søknad og advarsel | Søknad",pdf,nn,nei,
Kunnskapsbattle redigerbar,Aktiv læring,pdf,nb,nei,Kunnskapsbattle (malbasert)
Aball-hefte,Aktiv læring | Aball,pdf,nb,nei,Aball-hefte
Kort med forskjellige følelser,Aktiv læring,pdf,nb | nn,nei,Alias med følelser
Ja eller nei - Spørsmålsark,Tilleggsmateriale til leker,pdf,nb,ja,Ja eller nei
Kurshefte 2022 vår ,Kurshefter,pdf,nb,nei,
"Da Vinci-koden, gruppeark (barneskole)",Aktiv læring,pdf,nb | nn,nei,Da Vinci-koden - geometriske figurer
A4 beskrivelser 2022 vinter/vår,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
Matematikk frisbeegolf - regneoppgaver,Aktiv læring,pdf,nb,nei,Matematikk frisbeegolf
"Rettskrivingsstafett, Kort med ord (3. - 4. trinn, kj, sj, ng, o, æ ++)",Aktiv læring,pdf,nb,nei,Rettskrivingsstafett
"Stikkball med rettskriving, 1. - 2. klasse ",Aktiv læring,pdf,nb | nn,nei,Stikkball med rettskriving
Picture and word bingo - animals,Aktiv læring,pdf,nb | nn | en,nei,Picture and word bingo - Everyday vocabulary
25-leken om vann,Aktiv læring,pdf,nb,nei,25-leken (alle opplegg + redigerbar)
25-leken om vann - fasit,Aktiv læring,pdf,nb,nei,25-leken (alle opplegg + redigerbar)
25-leken om vann,Aktiv læring,pdf,nb,nei,25-leken: Vann
25-leken om vann - fasit,Aktiv læring,pdf,nb,nei,25-leken: Vann
25-leken redigerbar,Aktiv læring,pdf,nb | nn,nei,25-leken: Vann
25-leken redigerbar fasit,Aktiv læring,pdf,nb | nn,nei,25-leken: Vann
"Begrepsblink - buddhismen, begreper",Aktiv læring,pdf,nb,nei,Begrepsblink (alle opplegg)
"Aktiv læring, kurshefte best of volum 1 barneskole",Aktiv læring | Kurshefter,pdf,nb,nei,
Matematikk frisbeegolf - poengskjema - konkurranse,Aktiv læring,pdf,nb | nn,nei,Matematikk frisbeegolf
Kurshefte 2022 høst,Kurshefter,pdf,nb,nei,Digital kursmodul høst 2022
A4 beskrivelser 2022 høst ,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
Kurshefte 2023 vinter,Kurshefter,pdf,nb,nei,Digital kursmodul vinter 2023 
A4 beskrivelser 2023 vinter/vår,Lekeplakater/A4-beskrivelser,pdf,nb,nei,Digital kursmodul vinter 2023 
Hvordan lykkes som TL-skole?,Drift av TL | Informasjon | Tips og plakater | Tips,pdf,nb,nei,
Ordkort redigerbare,Aktiv læring,pdf,nb | nn | en,nei,Finn ordklassen
Memory kort - lengde og volum,Aktiv læring,pdf,nb | nn | en,nei,Memory med måleenheter
Memory kort - redigerbare,Aktiv læring,pdf,nb | nn | en,nei,Memory med måleenheter
Ordkort - tilpasset 5.-7.trinn (ord som ofte skrives feil),Aktiv læring,pdf,nb,nei,Ord for ord
Ordkort - redigerbare,Aktiv læring,pdf,nb | nn | en,nei,Ord for ord
"Rulleringsquiz - Teknologi, energi og elektrisitet",Aktiv læring,pdf,nb,nei,"Rulleringsquiz: Teknologi, energi og elektrisitet"
Sett sammen setninger - kristendommen,Aktiv læring,pdf,nb,nei,Sette sammen setninger - Kristendommen
Sett sammen setninger - redigerbar,Aktiv læring,pdf,nb | nn | en,nei,Sette sammen setninger - Kristendommen | Sette sammen setninger (malbasert)
Mønsteret 1,Aktiv læring,pdf,nb | nn | en,nei,Mønsteret
Mønsteret 2,Aktiv læring,pdf,nb | nn | en,nei,Mønsteret
Mønsteret 3,Aktiv læring,pdf,nb | nn | en,nei,Mønsteret
Mønsteret uten farger (fargelegg eget mønster),Aktiv læring,pdf,nb | nn | en,nei,Mønsteret
Bingo - skolestart,Tilleggsmateriale til leker | Lek med tema,pdf,nb,ja,Bingo - skolestart
Tips til de eldste elevene,Drift av TL | Tips og plakater | Tips,pdf,nb,nei,
Kurshefte 2023 høst,Kurshefter,pdf,nb,nei,
A4 beskrivelser 2023 høst,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
Glosestafett - REDIGERBAR,Aktiv læring,pdf,nb | nn | en,nei,Glosestafett
Kart i fart - eksempel Norge,Aktiv læring,pdf,nb,nei,Kart i fart - oppstart nytt tema
Kart i fart - eksempel Norge,Aktiv læring,pdf,nb,nei,Kart i fart - oppstart nytt tema
Søknad TL (nynorsk),"Drift av TL | Nominasjon, søknad og advarsel | Søknad",pdf,nn,nei,
"Søknad TL, barneskole (nynorsk)","Drift av TL | Nominasjon, søknad og advarsel | Søknad",pdf,nn,nei,
"Søknad TL, barneskole","Drift av TL | Nominasjon, søknad og advarsel | Søknad",pdf,nb,nei,
Kunnskapsbattle redigerbar,Aktiv læring,pdf,nb,nei,Kunnskapsbattle sterke verb
Kunnskapsbattle redigerbar,Aktiv læring,pdf,nb,nei,Kunnskapsbattle med ordklasser
Ordklasseark,Aktiv læring,pdf,nb,nei,Ordklassekamp
Kurshefte 2024 vinter ,Kurshefter,pdf,nb,nei,Digital kursmodul vinter 2024
A4 beskrivelser 2024 vinter,Lekeplakater/A4-beskrivelser,pdf,nb,nei,Digital kursmodul vinter 2024
"Rulleringsquiz, redigerbar",Aktiv læring,pdf,nb | nn | en,nei,Rulleringsquiz (alle + redigerbar)
"Rulleringsquiz teknologi, energi og elektrisitet",Aktiv læring,pdf,nb,nei,Rulleringsquiz (alle + redigerbar)
Verbskjema,Aktiv læring,pdf,en,nei,"""Løper"" og ""Bøyer"" - verbs"
Verbkort - redigerbare,Aktiv læring,pdf,nb | en,nei,"""Løper"" og ""Bøyer"" - verbs"
"Verb ordkort, redigerbar (løper og bøyer)",Aktiv læring,pdf,nb | en,nei,”Løper” og ”Bøyer” - irregular verbs
"Begrepsblink KRLE, redigerbare kort",Aktiv læring,pdf,nb | nn,nei,Begrepsblink (alle opplegg)
"Begrepsblink Samfunnsfag, redigerbare kort",Aktiv læring,pdf,nb | nn,nei,Begrepsblink (alle opplegg)
"Begrepsblink, redigerbar fasit",Aktiv læring,pdf,nb | nn,nei,Begrepsblink (alle opplegg)
Board game - redigerbar,Aktiv læring,docx,en,nei,Board game - Verbs
Hvor på kartet er dette?,Aktiv læring,pdf,nb | nn,nei,Hvor på kartet er dette? (Fylker i Norge)
TL snakkebobler med aktivitetsutfordringer,Tips og plakater | Plakater,pdf,nb,nei,
Søknad TL/Application TL - English,"Drift av TL | Nominasjon, søknad og advarsel | Søknad",pdf,en,nei,
Hverdagsvalg - brettspill - REDIGERBAR,Aktiv læring,docx,nb,nei,Hverdagsvalg - Etiske dilemmaer
Hverdagsvalg - brettspill,Aktiv læring,pdf,nb,nei,Hverdagsvalg - Etiske dilemmaer
Ordkort landskap og Kaboom kort,Aktiv læring,pdf,nb,nei,Kaboom - Landskap
Lek med ordklasser,Aktiv læring,pdf,en,nei,Lek med ordklasser
Ordkort - summer,Aktiv læring,pdf,nb | en,nei,Drawing relay (alle tema)
Ordkort 3.-4. trinn (generelle ord),Aktiv læring,pdf,en,nei,Drawing relay (alle tema)
Ordkort 5.-7. trinn (generelle ord),Aktiv læring,pdf,nb | en,nei,Drawing relay (alle tema)
Ordkort,Aktiv læring,pdf,nb,nei,Ord som rimer
"Kryssordjakten, kryssord og fasit",Aktiv læring,pdf,nb,nei,Kryssordjakten - Dyr og dyrevelferd
"Kryssordjakten, spørsmål/hint",Aktiv læring,pdf,nb,nei,Kryssordjakten - Dyr og dyrevelferd
Kryssordjakten redigerbare spørsmål/hint,Aktiv læring,pdf,nb | nn,nei,Kryssordjakten - Dyr og dyrevelferd
"Aktiv læring kurshefte, modul 8",Aktiv læring | Kurshefter,pdf,nb,nei,
Tips til en god diskusjon,Aktiv læring,pdf,nb,nei,Hverdagsvalg - Etiske dilemmaer
"Ordkort, redigerbare",Aktiv læring,pdf,nb | nn | en,nei,Kaboom - Landskap | Lek med ordklasser | Drawing relay (alle tema)
Kryssordjakten - kryssord - REDIGERBAR,Aktiv læring,docx,,nei,Kryssordjakten - Dyr og dyrevelferd
Fotballbingo,Tilleggsmateriale til leker | Lek med tema,pdf,nb,ja,Fotballbingo
Kurshefte 2024 høst,Kurshefter,pdf,nb,nei,Digital kursmodul høst 2024
A4 beskrivelser 2024 høst,Lekeplakater/A4-beskrivelser,pdf,nb,nei,Digital kursmodul høst 2024
"Tips til skolestart, plakat",Tips og plakater | Plakater,pdf,nb,nei,
Heis flagget - land og farger,Tilleggsmateriale til leker,pdf,nb | nn,ja,Heis flagget
Rubiks matte maler,Tilleggsmateriale til leker,pdf,nb | nn | en,ja,Rubiks matte
Plukk summen oppgaver addisjon/subtraksjon,Tilleggsmateriale til leker | Aktiv læring,pdf,nb | en,ja,Plukk summen - Nattduellen (de fire regneartene)
.TL-plakat om programmets ressurser,Drift av TL | Tips og plakater | Plakater,pdf,nb,nei,
Søknad om tilskudd - til FAU,Drift av TL | Søknader om tilskudd,pdf,nb,nei,
Søknad om tilskudd - til FAU (nynorsk),Drift av TL | Søknader om tilskudd,pdf,nn,nei,
"Søknad om tilskudd - til bedrifter, stiftelser o.l",Drift av TL | Søknader om tilskudd,pdf,nb,nei,
"Informasjonsskriv foresatte, barneskole",Drift av TL | Informasjon til foresatte,pdf,nb,nei,
"Informasjonsskriv foresatte, barneskole (nynorsk)",Drift av TL | Informasjon til foresatte,pdf,nn,nei,
"Informasjonsskriv foresatte, ungdomsskole (nynorsk)",Informasjon til foresatte,pdf,nn,nei,
TL sine snakkeboblar med rørslesutfordringar,Drift av TL | Tips og plakater | Plakater,pdf,nn,nei,
Elevpresentasjon 1.-3. trinn/Student presentation 1.-3. grade,Drift av TL | Presentasjoner | Elevpresentasjoner,pptx,en,nei,
Nominasjonslapp,"Drift av TL | Nominasjon, søknad og advarsel | Nominasjon",pdf,nb,nei,
Rubiks matte-brett,Aktiv læring,pdf,nb,nei,Rubiks matte - Utforsking og problemløsing
Rubiks matte-fargesirkler,Aktiv læring,pdf,nb,nei,Rubiks matte - Utforsking og problemløsing
Rubiks matte-maler,Tilleggsmateriale til leker | Aktiv læring,pdf,nb,ja,Rubiks matte - Utforsking og problemløsing
A4 beskrivelser 2025 vinter ,Lekeplakater/A4-beskrivelser,pdf,nb,nei,Kursmodul vinter 2025
Kurshefte 2025 vinter ,Kurshefter,pdf,nb,nei,Kursmodul vinter 2025
Fargeduellen,Tilleggsmateriale til leker,pdf,nb | nn,ja,Fargeduellen
TL logo med slagord JPG,TL-logo,jpg,nb | nn | en,nei,
TL logo med slagord PNG,TL-logo,png,nb | nn | en,nei,
"10 tips til TL, A3 plakat - Engelsk",Tips og plakater | Plakater,pdf,en,nei,
"Regler for å være TL, A3 plakat - Engelsk",Tips og plakater | Plakater,pdf,en,nei,
Påskebingo,Lek med tema,pdf,nb,nei,Påskebingo
TL-Mester veiledning for gjennomføring,Turneringer og TL-Mester | TL-mester,pdf,nb,nei,
Loop-kort present continuous,Aktiv læring,pdf,,nei,Loop - Present continuous
Loop-kort irregular verbs,Aktiv læring,pdf,nb,nei,Loop - Irregular verbs
"Oppgaver for TL, A3 plakat - Engelsk",Tips og plakater | Plakater,pdf,en,nei,
"Regler i leken, A3 plakat - Engelsk",Tips og plakater | Plakater,pdf,en,nei,
Begreps- og bevegelseskort - kristent liv,Aktiv læring,pdf,nb,nei,Bingo - Kristent liv
Bingobrett,Aktiv læring,pdf,nb,nei,Bingo - Kristent liv
Påskejakt bilder,Lek med tema | Tilleggsmateriale til leker,pdf,nb | nn | en,ja,Påskejakt
Påskejakt spillbrett,Lek med tema | Tilleggsmateriale til leker,pdf,,ja,Påskejakt
Kryssordjakten - spørsmål,Aktiv læring,pdf,nb,nei,Kryssordjakten - Kristendommens historie
Kryssordjakten - kryssord og fasit REDIGERBAR,Aktiv læring,docx,nb,nei,Kryssordjakten - Kristendommens historie
Kryssordjakten - spørsmål REDIGERBAR,Aktiv læring,pdf,nb,nei,Kryssordjakten - Kristendommens historie
Kryssordjakten - kryssord og fasit,Aktiv læring,pdf,nb,nei,Kryssordjakten - Kristendommens historie
Postlapper med dialekter,Aktiv læring,pdf,nb | nn,nei,Kven seier kva?
Norgeskart (tosidig med fylker på en side),Aktiv læring,pdf,nb | nn,nei,Kven seier kva?
Veiledende fasit,Aktiv læring,pdf,nb | nn,nei,Kven seier kva?
Temabrett og ordkort - Bokmål,Aktiv læring,pdf,nb,nei,Ordmiks - lese og sortere
Temabrett og ordkort - Nynorsk,Aktiv læring,pdf,nn,nei,Ordmiks - lese og sortere
"Refleksjonsspørsmål - Mangfold, felleskap og identitet",Aktiv læring,pdf,nb,nei,"Alle mot alle - med vandresamtale om mangfold, fellesskap og identitet"
Redigerbare spørsmålskort,Aktiv læring,pdf,nb | nn | en,nei,"Alle mot alle - med vandresamtale om mangfold, fellesskap og identitet"
"Diplom TL, engelsk (interaktiv)",Drift av TL | Diplom og attester,pdf,en,nei,
Loop-kort redigerbare,Aktiv læring,pdf,en,nei,Loop - Present continuous | Loop - Irregular verbs
TL pratekort - bokmål,Pratekort | Lek og aktivitet,pdf,nb,nei,
Kurshefte 2025 høst,Kurshefter,pdf,nb | nn | en,nei,Kursmodul høst 2025
A4 beskrivelser 2025 høst,Lekeplakater/A4-beskrivelser,pdf,nb,nei,Kursmodul høst 2025
Nominasjon av trivselsledere - informasjon,"Drift av TL | Nominasjon, søknad og advarsel | Nominasjon",pdf,nb,nei,
TL pratekort - nynorsk,Lek og aktivitet | Pratekort,pdf,nn,nei,
Amøbe - bilde av stadiene,Tilleggsmateriale til leker,pdf,nb,ja,Amøbe
Tips til foreldremøter ,Drift av TL | Informasjon til foresatte | Tips og plakater | Tips,pdf,nb,nei,
Information about the Culture Card,Drift av TL | Informasjon om kulturkort,pdf,en,nei,
Julekalender 2025 - alle luker med forside og bakside,Julekalender,pdf,nb,nei,Julekalender 2025 - juletre til å henge på veggen
"Kjempe, trollmann og drage - bildestøtte",Tilleggsmateriale til leker,pdf,nb,ja,"Kjempe, trollmann og drage"
A4 beskrivelser 2026 vinter,Lekeplakater/A4-beskrivelser,pdf,nb,nei,.Kursmodul vinter 2026
Kurshefte 2026 vinter,Kurshefter,pdf,nb,nei,.Kursmodul vinter 2026
Årstider - kort med bilder og setninger,Aktiv læring,pdf,nb,nei,Årstider med bildekort og setninger
Diplom TL (interaktiv),Drift av TL | Diplom og attester,pdf,nb,nei,
Faktaspørsmål og filosofiske spørsmål ,Aktiv læring,pdf,nb,nei,Bytte og begrunne - fakta eller filosofi?
Yoga - Present and past tense - posters,Aktiv læring | Manualer,pdf,nb | en,nei,Yoga - Present and past tense
Postlapper,Aktiv læring,pdf,nb,nei,Sant/usant om barns rettigheter
Oppgaveark,Aktiv læring,pdf,nb,nei,Sant/usant om barns rettigheter
Fasit,Aktiv læring,pdf,nb,nei,Sant/usant om barns rettigheter
Oppgaveark (A3),Aktiv læring,pdf,nb,nei,Sett inn komma
Fasit (A4),Aktiv læring,pdf,nb,nei,Sett inn komma
Fasit årstider,Aktiv læring,pdf,nb,nei,Årstider med bildekort og setninger
Brettspill - koordinater,Aktiv læring,pdf,nb | nn | en,nei,Brettspill - koordinater
Brettspill - telling/mengder,Aktiv læring,pdf,nb | nn | en,nei,Brettspill - telling/mengder
Hep Hey - kategorier,Aktiv læring,pdf,nb,nei,Hep hey
Matematikk frisbeegolf - skjema - uten konkurranse,Aktiv læring,pdf,nb,nei,Matematikk frisbeegolf
Kurshefte 2026 høst,Kurshefter,pdf,nb,nei,Kursmodul høst 2026
Begrepsark - kristent liv,Aktiv læring,pdf,nb,nei,Bingo - Kristent liv
Board game - verbs,Aktiv læring,pdf,nb | nn | en,nei,Board game - Verbs
Brøkverdikart,Aktiv læring,pdf,nb | nn | en,nei,Brøkkampen
Tips til TL-møter,Drift av TL | Tips og plakater | Tips,pdf,nb,nei,
A4 beskrivelser 2016 høst,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
A4 beskrivelser 2016 vinter,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
A4 beskrivelser 2017 høst (ungdomsskole),Lekeplakater/A4-beskrivelser,pdf,nb,nei,
A4 beskrivelser 2017 høst,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
A4 beskrivelser 2017 vinter,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
A4 beskrivelser 2020 høst,Lekeplakater/A4-beskrivelser,pdf,nb,nei,
Halloweenjakt - Bilder og spillbrett (til å skrive antall),Lek med tema,pdf,nb | nn | en,nei,Halloweenjakt
Test kokko,Tilleggsmateriale til leker,pdf,nb,ja,Test
A4 Beskrivelser 2026 høst,Lekeplakater/A4-beskrivelser,pdf,nb,nei,Kursmodul høst 2026
Brev,Tilleggsmateriale til leker,pdf,,ja,Brevbæreren
Verdensrekorder,Tilleggsmateriale til leker,pdf,,ja,Verdensrekorder (fra 2018)
Trivselsdikt,Plakater,pdf,nb,nei,
Bingofangeren - bingobrett,Tilleggsmateriale til leker,pdf,nb | nn | en,ja,Bingofangeren
Nominasjonsvideo,"Nominasjon, søknad og advarsel | Nominasjon",mp4,,nei,
